date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2007-08-15,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,3000.0,15.65,46950.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,800.0,14.46,11568.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,2400.0,15.15,36360.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,900.0,15.19,13671.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,1000.0,14.45,14450.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,400.0,15.01,6004.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,4728.0,15.0,70920.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,372.0,15.03,5591.16
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,100.0,14.81,1481.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,100.0,14.82,1482.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,2400.0,14.8,35520.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,400.0,14.83,5932.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,200.0,14.47,2894.0
2007-09-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,200.0,15.16,3032.0
2007-09-12,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,100.0,16.02,1602.0
2007-09-12,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,700.0,16.03,11221.0
2007-09-12,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,buy,5100.0,6.61,33711.0
2007-09-12,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,4300.0,16.0,68800.0
2007-09-20,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,100.0,16.09,1609.0
2007-09-20,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,buy,1418.0,6.61,9372.98
2007-09-20,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,1318.0,16.08,21193.44
2007-11-14,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,1900.0,11.23,21337.0
2007-11-14,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,100.0,11.24,1124.0
2007-11-14,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,2000.0,11.35,22700.0
2007-11-14,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,4000.0,11.05,44200.0
2007-11-15,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,buy,5000.0,1.08,5400.0
2007-12-06,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,buy,4000.0,1.08,4320.0
2007-12-06,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,2000.0,12.05,24100.0
2007-12-06,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,2800.0,12.57,35196.0
