date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2003-11-04,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,sell,46361.0,45.13,2092271.9300000002
2003-11-04,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,4808.0,27.6875,133121.5
2003-11-04,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,400.0,27.6875,11075.0
2003-11-04,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,40000.0,35.6875,1427500.0
2003-11-04,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,3646.0,26.95,98259.7
2003-11-06,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,sell,10000.0,45.19,451900.0
2003-11-06,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,buy,3646.0,26.95,98259.7
2003-11-06,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,sell,3407.0,45.385,154626.695
2003-11-06,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,buy,145833.0,27.6875,4037751.1875
2003-11-06,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,sell,136663.0,45.2795,6188032.3085
2003-11-06,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,10000.0,35.6875,356875.0
2003-11-12,ADBE,"COTTLE, KAREN O","SVP, Gen. Counsel & Secretary",True,Common Stock,sell,70369.0,42.6217,2999246.4072999996
2003-11-12,ADBE,"COTTLE, KAREN O","SVP, Gen. Counsel & Secretary",True,Common Stock,buy,75000.0,26.47,1985250.0
2003-12-15,ADBE,"GESCHKE, CHARLES M","Director, Co-Chairman of the Board",True,Common Stock,sell,15245.0,40.22,613153.9
2003-12-18,ADBE,"WARNOCK, JOHN E","Director, Co-Chairman of the Board",True,Common Stock,sell,200000.0,40.1079,8021580.0
2003-12-23,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,sell,47029.0,40.0,1881160.0
2003-12-23,ADBE,"WARNOCK, JOHN E","Director, Co-Chairman of the Board",True,Common Stock,sell,150000.0,40.1515,6022725.0
2003-12-23,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,1123.0,26.47,29725.809999999998
2003-12-23,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,48877.0,26.47,1293774.19
2003-12-23,ADBE,"GESCHKE, CHARLES M","Director, Co-Chairman of the Board",True,Common Stock,sell,59755.0,40.04,2392590.1999999997
2004-01-05,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,buy,27083.0,26.47,716887.01
2004-01-05,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,buy,1086.0,18.42,20004.120000000003
2004-01-05,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,sell,36939.0,39.8159,1470759.5300999999
2004-01-05,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,buy,11210.0,18.42,206488.2
2004-03-22,ADBE,"GESCHKE, CHARLES M","Director, Co-Chairman of the Board",True,Common Stock,sell,25000.0,39.5955,989887.5
2004-04-01,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,buy,98500.0,26.47,2607295.0
2004-04-01,ADBE,"GESCHKE, CHARLES M","Director, Co-Chairman of the Board",True,Common Stock,sell,25000.0,40.1362,1003405.0
2004-04-01,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,buy,475.0,27.6875,13151.5625
2004-04-01,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,sell,94740.0,39.9678,3786549.3719999995
2004-04-01,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,buy,1466.0,26.47,38805.02
2004-04-02,ADBE,"POULIOT, COLLEEN M",Director,True,Common Stock,sell,20000.0,40.1611,803222.0
2004-04-05,ADBE,"GESCHKE, CHARLES M","Director, Co-Chairman of the Board",True,Common Stock,sell,25000.0,41.0219,1025547.5
2004-04-05,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,buy,1809.0,18.42,33321.780000000006
2004-04-05,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,sell,21215.0,40.9105,867916.2575
2004-04-05,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,buy,6250.0,26.47,165437.5
