date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,69908,69908,,,,,,None,67933,,,,,0.0,0.0755,-26201266,-26133333,-0.6755,2023-09-30,,0.0,-69908,-23452323,146273,,,None,4973.57,66576,,None,,,,,-23598596,-23598596,61743,None,0.0,,26201266,-26201266,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,18535782,,-0.321,-0.538,0.0,0.0,7665484,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,67176,67176,,,,,,None,67176,,,,,0.0,0.0755,-23712395,-23645219,-0.6755,2023-06-30,,0.0,-67176,-23729856,102497,,,None,17456,545143,,None,,,,,-23832354,733076,550457,None,0.0,,24371919,-24439096,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,15978952,,-0.321,-0.538,0.0,0.0,441834,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,66381,66381,,,,,,None,66381,,,,,0.0,0.0755,-24210925,-24144544,-0.6755,2023-03-31,,0.0,-66381,-24216626,65081,,,None,5701.62,106527,,None,,,,,-24281707,-22630949,101213,None,0.0,,22546984,-22613365,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,14746984,,-0.321,-0.538,0.0,0.0,7331596,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,None,None,,,,,,None,46174,,,,,0.0,0.0755,-23589148,-23542974,-0.6755,2022-12-31,,0.0,None,-38893456,303199,,,None,88275,None,,None,,,,,-39196655,-39196655,65804,None,0.0,,23566677,-23589148,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,16050603,,-0.321,-0.538,0.0,0.0,7516074,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,38831,38831,,,,,,None,38831,,,,,0.0,0.0755,-10938737,-10899906,-0.6755,2022-09-30,,0.0,-38831,-10964950,-2420088,,,None,26218,None,,None,,,,,-8544861,-8487804,-26043,None,0.0,,22498326,-22537157,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,14183554,,-0.321,-0.538,0.0,0.0,8297822,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,37616,37616,,,,,,None,37616,,,,,0.0,0.0755,-10479211,-10441595,-0.6755,2022-06-30,,0.0,-37616,-10514815,2917234,,,None,33457,None,,None,,,,,-13432049,-12621068,-34007,None,0.0,,22718065,-22755681,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,14603337,,-0.321,-0.538,0.0,0.0,7660133,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,33303,33303,,,,,,None,32850,,,,,0.0,0.0755,-19379494,-19346644,-0.6755,2022-03-31,,0.0,-33303,-15988315,38715,,,None,45060,None,,None,,,,,-16027030,-16027030,None,None,0.0,,19379494,-19379494,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,13514488,,-0.321,-0.538,0.0,0.0,5865006,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,None,None,,,,,,None,4664,,,,,0.0,0.0755,-16239903,-16235239,-0.6755,2021-12-31,,0.0,None,-12360838,-19627,,,None,None,None,,None,,,,,-12341211,-12341211,None,None,0.0,,16239903,-16239903,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,10700943,,-0.321,-0.538,0.0,0.0,5263908,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,None,None,,,,,,None,28955,,,,,0.0,0.0755,-13330255,-13301300,-0.6755,2021-09-30,,0.0,None,-9075729,68190,,,None,69812,None,,None,,,,,-9143919,-9143919,None,None,0.0,,13330255,-13330255,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,8956174,,-0.321,-0.538,0.0,0.0,4374081,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
2025-12-28,PHVS,-3.42,0.0,,-2.8,5.66,,,,,,,,,,,,,,,None,None,None,,,,,,None,11987,,,,,0.0,0.0755,-15130256,-15118269,-0.6755,2021-06-30,,0.0,None,-15199808,2965,,,None,69552,None,,None,,,,,-15202773,-15202773,None,None,0.0,,12725325,-12725325,,,,,None,,,,,4.544,,,,,,,,0.0,,,2025-11-12,quarterly,-0.6,EUR,pre-market,8060599,,-0.321,-0.538,0.0,0.0,4664726,,,,20.38,24.18,11.1769,,,,,,,0,,,29.8,11.51
