date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2025-06-30,VICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0022,,,0.6895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-29,,0.6917,,pre-market,,,,,,,,,,,,,0.3191,,,,,,,,,,,,
2025-09-30,VICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,,0.71,,pre-market,,,,,,,,,,,,,2.8986,,,,,,,,,,,,
2025-12-28,VICI,2.63,3969078000.0,10.7,,0.714,25.89,,,,,,,,,,,,,,,,,,,,,,,,,,1.748,0.0625,,,,0.014,0.02,,,0.69,,9.74,,3932268000.0,,,,,,,,,,,,,,,,,,,0.977,,,,,,,,,,,,,1.086,7.58,,,,,,,,0.702,,,2025-10-30,,0.71,,pre-market,,,0.0501,0.104,0.044,3.749,,,,,31.6,29.41,2.8986,,,,,,,,,10.7,,33.01,26.43
2025-12-28,VICI,2.63,3969078000.0,10.7,,0.714,25.89,,,,,,,,,,,,,,,None,7702000,7702000,,,,,,None,937000,,1.748,0.0625,,,,0.014,0.02,987838000,988775000,0.69,2025-09-30,9.74,,3932268000.0,1007488000,777505000,3885000,,,None,210333000,3881000,,None,,,,,762040000,773620000,-206452000,None,0.977,,23449000,984039000,,,,,None,,,,,1.086,7.58,,,,,,,,0.702,,,2025-10-30,quarterly,0.71,USD,pre-market,None,,0.0501,0.104,0.044,3.749,16344000,,,,31.6,29.41,2.8986,,,,,,,1015190000,,10.7,,33.01,26.43
2025-12-28,VICI,2.63,3969078000.0,10.7,,0.714,25.89,,,,,,,,,,,,,,,None,6619000,6619000,,,,,,None,741000,,1.748,0.0625,,,,0.014,0.02,1097729000,1098470000,0.69,2025-06-30,9.74,,3932268000.0,994715000,883932000,5564000,,,None,213797000,2293000,,None,,,,,865079000,878368000,-211504000,None,0.977,,-107163000,1101878000,,,,,None,,,,,1.086,7.58,,,,,,,,0.702,,,2025-10-30,quarterly,0.71,USD,pre-market,None,,0.0501,0.104,0.044,3.749,14561000,,,,31.6,29.41,2.8986,,,,,,,1001334000,,10.7,,33.01,26.43
2025-12-28,VICI,2.63,3969078000.0,10.7,,0.714,25.89,,,,,,,,,,,,,,,None,6352000,6352000,,,,,,None,996000,,1.748,0.0625,,,,0.014,0.02,759060000,760056000,0.69,2025-03-31,9.74,,3932268000.0,977852000,549809000,-2456000,,,None,209251000,3697000,,None,,,,,543607000,552265000,-205554000,None,0.977,,222326000,755526000,,,,,None,,,,,1.086,7.58,,,,,,,,0.702,,,2025-10-30,quarterly,0.71,USD,pre-market,None,,0.0501,0.104,0.044,3.749,14860000,,,,31.6,29.41,2.8986,,,,,,,984204000,,10.7,,33.01,26.43
2025-12-28,VICI,2.63,3969078000.0,10.7,,0.714,25.89,,,,,,,,,,,,,,,None,6747000,6747000,,,,,,None,992000,,1.748,0.0625,,,,0.014,0.02,834773000,835765000,0.69,2024-12-31,9.74,,3932268000.0,969305000,626652000,2447000,,,None,208121000,4079000,,None,,,,,614594000,624205000,-204042000,None,0.977,,135583000,833722000,,,,,None,,,,,1.086,7.58,,,,,,,,0.702,,,2025-10-30,quarterly,0.71,USD,pre-market,None,,0.0501,0.104,0.044,3.749,20691000,,,,31.6,29.41,2.8986,,,,,,,976052000,,10.7,,33.01,26.43
2025-12-28,VICI,2.63,3969078000.0,10.7,,0.714,25.89,,,,,,,,,,,,,,,None,6824000,6824000,,,,,,None,1008000,,1.748,0.0625,,,,0.014,0.02,954259000,955267000,0.69,2024-09-30,9.74,,3932268000.0,957845000,746942000,2461000,,,None,207317000,2797000,,None,,,,,732898000,744481000,-204520000,None,0.977,,5155000,952690000,,,,,None,,,,,1.086,7.58,,,,,,,,0.702,,,2025-10-30,quarterly,0.71,USD,pre-market,None,,0.0501,0.104,0.044,3.749,16458000,,,,31.6,29.41,2.8986,,,,,,,964669000,,10.7,,33.01,26.43
2025-12-28,VICI,2.63,3969078000.0,10.7,,0.714,25.89,,,,,,,,,,,,,,,None,6813000,6813000,,,,,,None,992000,,1.748,0.0625,,,,0.014,0.02,961764000,962756000,0.69,2024-06-30,9.74,,3932268000.0,950190000,755987000,3234000,,,None,205777000,3926000,,None,,,,,741302000,752753000,-201851000,None,0.977,,-6917000,957107000,,,,,None,,,,,1.086,7.58,,,,,,,,0.702,,,2025-10-30,quarterly,0.71,USD,pre-market,None,,0.0501,0.104,0.044,3.749,15768000,,,,31.6,29.41,2.8986,,,,,,,957003000,,10.7,,33.01,26.43
2025-12-28,VICI,2.63,3969078000.0,10.7,,0.714,25.89,,,,,,,,,,,,,,,None,6511000,6511000,,,,,,None,1133000,,1.748,0.0625,,,,0.014,0.02,806247000,807380000,0.69,2024-03-31,9.74,,3932268000.0,944970000,601365000,1562000,,,None,204882000,5293000,,None,,,,,590016000,599803000,-199589000,None,0.977,,143555000,801415000,,,,,None,,,,,1.086,7.58,,,,,,,,0.702,,,2025-10-30,quarterly,0.71,USD,pre-market,None,,0.0501,0.104,0.044,3.749,16192000,,,,31.6,29.41,2.8986,,,,,,,951481000,,10.7,,33.01,26.43
