date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,intangibleassets,intangibleassetsexcludinggoodwill,inventory,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,operating_margin_ttm,operatingcashflow,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2009-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-10-29,,0.87,,pre-market,,,,,,,,,,,0.0,,,,,,,,,,,
2009-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-02-02,,0.96,,pre-market,,,,,,,,,,,1.0526,,,,,,,,,,,
2010-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-29,,1.01,,pre-market,,,,,,,,,,,4.1237,,,,,,,,,,,
2010-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-29,,1.23,,pre-market,,,,,,,,,,,23.0,,,,,,,,,,,
2010-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-10-28,,0.99,,pre-market,,,,,,,,,,,-3.8835,,,,,,,,,,,
2010-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-09,,1.14,,pre-market,,,,,,,,,,,3.6364,,,,,,,,,,,
2011-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-05-04,,1.33,,pre-market,,,,,,,,,,,5.5556,,,,,,,,,,,
2011-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-28,,1.24,,pre-market,,,,,,,,,,,12.7273,,,,,,,,,,,
2011-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-10-27,,1.11,,pre-market,,,,,,,,,,,4.717,,,,,,,,,,,
2011-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-14,,1.31,,pre-market,,,,,,,,,,,4.8,,,,,,,,,,,
2012-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-26,,1.37,,pre-market,,,,,,,,,,,6.2016,,,,,,,,,,,
2012-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-01,,1.33,,pre-market,,,,,,,,,,,7.2581,,,,,,,,,,,
2012-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-31,,1.32,,pre-market,,,,,,,,,,,3.125,,,,,,,,,,,
2012-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-13,,1.25,,pre-market,,,,,,,,,,,5.9322,,,,,,,,,,,
