date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,502000,502000,,,,,,None,502000,,,,,0.0,0.0423,-122372000,-121870000,-0.7723,2025-03-31,,0.0,-502000,-115361000,None,,,None,None,7100000,,None,,,,,-115361000,-115361000,7100000,None,0.0,,122372000,-122372000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,106447000,,-0.312,-0.557,0.0,0.0,15925000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,None,None,,,,,,None,450000,,,,,0.0,0.0423,-97108000,-96658000,-0.7723,2024-12-31,,0.0,786000,-89542000,None,,,None,None,7592000,,None,,,,,-89542000,-89542000,7592000,None,0.0,,97108000,-97108000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,81805000,,-0.312,-0.557,0.0,0.0,15303000,,,,15.86,17.27,,5.4771,,,,,,,1572000,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,400000,400000,,,,,,None,438000,,,,,0.0,0.0423,-105659000,-105221000,-0.7723,2024-09-30,,0.0,-400000,-97125000,None,,,None,None,9276000,,None,,,,,-97125000,-97125000,9276000,None,0.0,,105659000,-105659000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,92800000,,-0.312,-0.557,0.0,0.0,12859000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,400000,400000,,,,,,None,399000,,,,,0.0,0.0423,-65102000,-64703000,-0.7723,2024-06-30,,0.0,-400000,-65102000,-1,,,None,0,7052000,,None,,,,,-65102000,-65102000,7052000,None,0.0,,71962000,-71962000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,62263000,,-0.312,-0.557,0.0,0.0,9699000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,386000,386000,,,,,,None,386000,,,,,0.0,0.0423,-69157000,-68771000,-0.7723,2024-03-31,,0.0,-386000,-65649000,-3002000,,,None,None,3002000,,None,,,,,-65649000,-65649000,3002000,None,0.0,,69157000,-69157000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,44539000,,-0.312,-0.557,0.0,0.0,24618000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,567000,567000,,,,,,None,399000,,,,,0.0,0.0423,-67688000,-67289000,-0.7723,2023-12-31,,0.0,3221000,-66638000,4327000,,,None,1689000,1751000,,None,,,,,-66638000,-66638000,1751000,None,0.0,,67688000,-67688000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,58844000,,-0.312,-0.557,0.0,0.0,8844000,,,,15.86,17.27,,5.4771,,,,,,,3788000,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,597000,597000,,,,,,None,431000,,,,,0.0,0.0423,-62273000,-61842000,-0.7723,2023-09-30,,0.0,-597000,-60210000,-431000,,,None,None,2189000,,None,,,,,-60210000,-60210000,2189000,None,0.0,,62273000,-62273000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,55251000,,-0.312,-0.557,0.0,0.0,7022000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,674000,674000,,,,,,None,431000,,,,,0.0,0.0423,-66736000,-66305000,-0.7723,2023-06-30,,0.0,-674000,-64902000,-2207000,,,None,None,2207000,,None,,,,,-64902000,-64902000,2207000,None,0.0,,66736000,-66736000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,59130000,,-0.312,-0.557,0.0,0.0,7606000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,623000,623000,,,,,,None,412000,,,,,0.0,0.0423,-45464000,-45052000,-0.7723,2023-03-31,,0.0,-623000,-44187000,-1689000,,,None,1689000,1493000,,None,,,,,-44187000,-44187000,1493000,None,0.0,,45464000,-45464000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,37536000,,-0.312,-0.557,0.0,0.0,7928000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
2026-04-16,DYN,-3.47,0.0,,1.285,5.89,,,,,,,,,,,,,,,None,615000,615000,,,,,,None,401000,,,,,0.0,0.0423,-40144000,-39743000,-0.7723,2022-12-31,,0.0,-615000,-38826000,-1317000,,,None,1342000,1342000,,None,,,,,-38827000,-38826000,1342000,None,0.0,,40145000,-40145000,,,,,None,,,,,0.19,3.171,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,33190000,,-0.312,-0.557,0.0,0.0,6954000,,,,15.86,17.27,,5.4771,,,,,,,0,,,25.0,7.59
