date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2025-06-30,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-11,,-0.72,,pre-market,,,,,,,,,,,,,,-1.4085,,,,,,,,,,,
2025-09-30,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06,,-0.74,,pre-market,,,,,,,,,,,,,,1.3333,,,,,,,,,,,
2025-12-31,DNLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-26,,-0.73,,pre-market,,,,,,,,,,,,,,2.6667,,,,,,,,,,,
2026-04-16,DNLI,-3.08,0.0,,1.096,6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02,,,-0.75,,,-418777984.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3.037,3643.65,,,,,,,,0.0,,,2026-02-26,,-0.73,,pre-market,,,-0.276,-0.457,-1.0,0.0,,,,,17.09,20.31,,2.6667,,,,,,,,,,23.77,12.31
2026-04-16,DNLI,-3.08,0.0,,1.096,6.49,,,,,,,,,,,,,,,None,2866000,2866000,,,,,,None,3782000,,,,,0.0,0.02,-128447000,-124665000,-0.75,2025-12-31,,-418777984.0,-2866000,-128447000,102000,,,None,None,8918000,,None,,,,,-128549000,-128549000,8918000,None,0.0,,134499000,-137365000,,,,,None,,,,,3.037,3643.65,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,97905000,,-0.276,-0.457,-1.0,0.0,39460000,,,,17.09,20.31,,2.6667,,,,,,,0,,,23.77,12.31
2026-04-16,DNLI,-3.08,0.0,,1.096,6.49,,,,,,,,,,,,,,,None,101950000,101950000,,,,,,None,3862000,,,,,0.0,0.02,-137434000,-133572000,-0.75,2025-09-30,,-418777984.0,-101950000,-126902000,None,,,None,None,10532000,,None,,,,,-126902000,-126902000,10532000,None,0.0,,137434000,-137434000,,,,,None,,,,,3.037,3643.65,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,101950000,,-0.276,-0.457,-1.0,0.0,35484000,,,,17.09,20.31,,2.6667,,,,,,,0,,,23.77,12.31
2026-04-16,DNLI,-3.08,0.0,,1.096,6.49,,,,,,,,,,,,,,,None,3045000,3045000,,,,,,None,3956000,,,,,0.0,0.02,-134963000,-131007000,-0.75,2025-06-30,,-418777984.0,-3045000,-124119000,None,,,None,None,10844000,,None,,,,,-124119000,-124119000,10844000,None,0.0,,134963000,-134963000,,,,,None,,,,,3.037,3643.65,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,102696000,,-0.276,-0.457,-1.0,0.0,32267000,,,,17.09,20.31,,2.6667,,,,,,,0,,,23.77,12.31
2026-04-16,DNLI,-3.08,0.0,,1.096,6.49,,,,,,,,,,,,,,,None,None,None,,,,,,None,3212000,,,,,0.0,0.02,-145580000,-142368000,-0.75,2025-03-31,,-418777984.0,None,-132970000,None,,,None,None,12610000,,None,,,,,-132970000,-132970000,12610000,None,0.0,,145580000,-145580000,,,,,None,,,,,3.037,3643.65,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,116227000,,-0.276,-0.457,-1.0,0.0,29353000,,,,17.09,20.31,,2.6667,,,,,,,0,,,23.77,12.31
2026-04-16,DNLI,-3.08,0.0,,1.096,6.49,,,,,,,,,,,,,,,None,None,None,,,,,,None,2619000,,,,,0.0,0.02,-129846000,-127227000,-0.75,2024-12-31,,-418777984.0,None,-114685000,68000,,,None,None,15161000,,None,,,,,-114753000,-114753000,15161000,None,0.0,,129846000,-129846000,,,,,None,,,,,3.037,3643.65,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,99787000,,-0.276,-0.457,-1.0,0.0,30059000,,,,17.09,20.31,,2.6667,,,,,,,0,,,23.77,12.31
2026-04-16,DNLI,-3.08,0.0,,1.096,6.49,,,,,,,,,,,,,,,None,None,None,,,,,,None,2269000,,,,,0.0,0.02,-123187000,-120918000,-0.75,2024-09-30,,-418777984.0,None,-107192000,None,,,None,None,15995000,,None,,,,,-107192000,-107192000,15995000,None,0.0,,123187000,-123187000,,,,,None,,,,,3.037,3643.65,,,,,,,,0.0,,,2026-02-26,quarterly,-0.73,USD,pre-market,98238000,,-0.276,-0.457,-1.0,0.0,24949000,,,,17.09,20.31,,2.6667,,,,,,,0,,,23.77,12.31
