date,open,high,low,close,volume,ema_12_ema,ema_26_ema,sma_200_sma,sma_20_sma,sma_50_sma
2016-06-24,32.03,33.38,29.39,16.54,3277075,16.8208,16.721,21.012,16.4204,16.9195
2016-07-01,29.75,33.25,28.88,18.52,4654115,17.0828,16.8545,21.0022,16.633,16.9198
2016-07-08,32.4,32.51,31.14,17.93,3346185,17.2136,16.9344,20.985,16.8032,16.9117
2016-07-15,32.39,33.26,32.24,18.18,1683283,17.362,17.0265,20.9622,16.9566,16.9012
2016-07-22,32.26,32.47,31.21,17.45,1535278,17.3753,17.0578,20.9382,17.0151,16.8745
2016-07-29,31.2,31.42,30.13,17.08,1571786,17.3291,17.0591,20.9194,17.0541,16.8491
2016-08-05,30.53,30.55,29.26,16.6,1540693,17.2163,17.0248,20.8951,17.0376,16.8379
2016-08-12,29.8,30.67,29.8,16.97,880957,17.1783,17.0206,20.8735,17.0774,16.8328
2016-08-19,30.58,31.44,30.29,16.99,1513103,17.1487,17.0181,20.8492,17.1307,16.8307
2016-08-26,30.29,30.97,30.0,16.86,1171212,17.104,17.0062,20.826,17.1747,16.8137
2016-09-02,30.02,30.72,29.87,17.02,890673,17.0918,17.0076,20.8027,17.1925,16.8065
2016-09-09,30.94,31.62,30.66,17.09,1131423,17.0918,17.0138,20.7832,17.1835,16.8082
2016-09-16,30.0,30.73,27.9,15.97,1568018,16.919,16.9364,20.7587,17.0888,16.7697
2016-09-23,28.42,28.74,27.74,16.0,2239475,16.7772,16.8668,20.7275,17.0496,16.7048
2016-09-30,27.97,29.2,27.35,16.45,2939165,16.7273,16.8362,20.6971,17.0434,16.6411
2016-10-07,28.89,29.92,28.8,16.89,2079574,16.7526,16.8403,20.6717,17.0746,16.6043
2016-10-14,30.11,30.4,28.76,16.76,2629845,16.7538,16.8344,20.6418,17.0519,16.584
2016-10-21,29.3,31.31,29.13,17.07,1606495,16.8031,16.8522,20.6105,17.0541,16.5736
2016-10-28,30.09,30.13,28.92,16.7,1800381,16.7878,16.8412,20.5789,17.023,16.5721
2016-11-04,29.06,29.14,27.7,15.88,2928891,16.6478,16.7698,20.5394,16.9475,16.5486
2016-11-11,28.31,28.36,26.91,15.47,2474211,16.467,16.6737,20.4942,16.8942,16.5045
2016-11-18,26.46,26.94,26.15,14.97,8626126,16.236,16.5472,20.4463,16.7163,16.4571
2016-11-25,26.59,27.16,26.39,15.36,2054776,16.1019,16.4596,20.4,16.5878,16.4401
2016-12-02,26.73,29.0,26.37,16.38,2287613,16.1454,16.454,20.3615,16.4982,16.4485
2016-12-09,29.01,30.33,28.89,17.11,2332991,16.2944,16.5029,20.3364,16.4814,16.4573
2016-12-16,31.27,32.11,30.86,17.89,1806268,16.5398,16.6056,20.3134,16.5221,16.4902
2016-12-23,31.18,32.01,30.99,18.16,1783473,16.7886,16.7205,20.2939,16.6002,16.5529
2016-12-30,32.15,32.63,31.61,18.37,1077727,17.0324,16.8429,20.2787,16.6704,16.6204
