date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_12_ema,ema_26_ema,ema_5_ema,mfi_14_mfi,mom_10_mom,rsi_14_rsi,sar_14_sar,sma_100_sma,sma_20_sma,sma_50_sma,sma_8_sma,stochrsi_14_fastd,stochrsi_14_fastk
2015-05-08,86.46,87.81,84.79,68.53,8259192,18.5197,2.136,64.4291,67.1862,69.9433,67.2578,65.7658,67.5428,71.6551,-0.7694,58.9844,69.961,56.1006,67.1862,61.8336,67.3305,72.7268,100.0
2015-05-15,87.28,88.4,85.85,68.86,8701658,17.6463,2.1263,64.478,67.3062,70.1344,67.5043,65.995,67.9818,70.3893,1.7793,59.8054,69.8688,56.3392,67.3062,62.1371,67.3305,91.3587,100.0
2015-05-22,87.37,88.12,86.81,68.11,8253517,16.8353,2.0479,64.8291,67.4634,70.0977,67.5982,66.152,68.0261,62.9625,0.7375,57.0249,69.7785,56.566,67.4634,62.4266,67.5453,83.2438,49.7315
2015-05-29,86.55,86.82,85.08,67.09,7371355,16.1551,1.9991,64.9694,67.5197,70.0699,67.5195,66.2212,67.713,56.0084,-1.7731,53.3421,69.69,56.7812,67.5197,62.6999,67.5051,49.9105,0.0
2015-06-05,85.7,85.98,83.23,66.11,8432851,16.3739,2.0104,64.9923,67.5265,70.0608,67.3021,66.2127,67.1774,48.9276,-0.2903,50.0223,69.6032,56.9742,67.5265,62.9448,67.3011,16.5772,0.0
2015-06-12,83.94,84.89,82.84,66.17,7309800,16.7324,2.0083,64.8481,67.4475,70.047,67.1275,66.2094,66.8407,51.4764,-1.2411,50.2308,69.4741,57.1502,67.4475,63.1906,67.3804,0.7102,2.1305
2015-06-19,83.25,84.8,82.43,66.61,8776922,17.0653,1.9984,65.3313,67.5591,69.7869,67.0478,66.239,66.7636,58.8501,-1.1287,51.7922,69.2954,57.3341,67.5591,63.4302,67.3712,9.1347,25.2736
2015-06-26,84.61,85.46,83.03,65.74,7998958,16.9146,1.9926,65.11,67.4748,69.8395,66.8468,66.2021,66.4228,57.2703,0.2079,48.5689,69.1239,57.512,67.4748,63.6587,67.152,9.1347,0.0
2015-07-02,82.8,82.8,79.51,63.78,8076225,18.1932,2.0645,64.4816,67.2025,69.9235,66.3756,66.023,65.5433,57.162,-2.8985,42.1934,68.9593,57.6762,67.2025,63.8358,66.5587,8.4245,0.0
2015-07-10,80.0,81.87,79.85,64.33,7826159,19.3806,2.0308,64.1247,66.96,69.7953,66.0607,65.8975,65.1385,57.7191,-3.166,44.3809,68.6484,57.8401,66.96,64.0023,65.9923,7.5967,22.7902
2015-07-17,81.85,83.04,81.48,65.02,8507859,19.6898,1.9734,64.0041,66.7458,69.4874,65.8999,65.8322,65.0974,58.2318,-3.5151,47.0993,68.3532,58.0146,66.7458,64.1972,65.6049,24.6333,51.1098
2015-07-24,82.26,82.39,79.67,62.96,8320041,20.6377,1.986,63.3463,66.5395,69.7328,65.4469,65.6191,64.3835,58.0395,-5.9042,40.6764,68.0726,58.166,66.5395,64.3565,65.0885,24.6333,0.0
