date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2023-04-28,16.53,16.98,15.91,13.89,6473575,-33081021.7748,1220709.1036,28.7633,,-1.3323,64.2857,21.4286,-42.8571,1.2087,11.8122,15.3718,18.9314,0.307,-75.096,-15.0334,13.3047,42.286,14.3142,14.508,15.399,,,,,,,,0,15.0313,,,,,,,,,53.6615,14.7675,14.7583,27.89,-3.028,8.7007,20695114.0,11.3127,-8.4018,-17.8955,0.8242,42.4833,16.3563,15.3718,,57.3999,75.9007,75.9007,86.2986,100.0,100.0,,,0.8858,14.6292,,44.2982,-63.4712,14.0696
2023-05-05,16.8,16.88,14.91,13.71,12314650,-23766895.6326,4883957.9676,30.2243,,-1.491,57.1429,14.2857,-42.8571,1.2383,11.658,15.2905,18.9231,-0.0812,-79.9967,-16.903,13.2668,49.2172,14.2214,14.4017,15.274,15.6467,,-1.9259,2.3611,,,,0,14.8816,,,,,,,0.167,2.8947,46.4358,14.6781,14.7583,30.0709,-2.811,9.0316,8380464.0,10.234,-9.4898,-17.0137,0.7818,41.5485,16.1157,15.2905,,71.4269,81.5281,81.5281,75.7112,93.8726,81.6177,,,1.6232,14.1993,,53.666,-66.2909,13.9057
2023-05-12,16.7,17.16,16.16,13.42,7657062,-29433121.5126,4135673.544,31.2085,,-1.6024,50.0,7.1429,-42.8571,1.2087,11.461,15.138,18.8151,-0.41,-60.045,-19.9219,13.1744,44.0024,14.0985,14.2712,15.1368,16.8533,,-0.6916,2.7632,,,,0,14.7132,-0.9333,-0.1308,-0.8025,-1.6024,-0.6073,-0.9951,0.1812,3.0,46.0861,14.6781,14.7583,28.5811,-3.4245,9.0052,723402.0,11.1142,-10.3166,-20.3268,0.7747,40.0391,15.8871,15.138,,77.1878,74.1345,74.1345,60.3939,72.8821,37.0286,,,0.824,13.878,,57.9125,-70.7769,13.7397
2023-05-19,16.5,17.29,16.29,14.0,6247495,-26934123.5126,4248722.594,31.9457,,-1.6735,42.8571,0.0,-42.8571,1.1813,11.3547,15.0229,18.691,0.49,-44.9426,-11.2192,13.253,41.5293,14.0832,14.235,15.0526,17.6938,,0.0504,2.1174,,,,0,14.6543,-0.8804,-0.0623,-0.8181,-1.6735,-0.5234,-1.1501,0.1958,3.11,44.8387,14.4587,14.6628,27.1333,-0.5234,8.4379,6970897.0,11.2097,-10.8718,-3.604,0.8065,44.3904,15.6699,15.0229,,76.7209,74.5,74.5,87.395,72.8821,100.0,,,0.824,13.6662,,56.393,-60.6355,13.6879
2023-05-26,17.09,17.98,16.68,14.0,8865416,-31571418.0357,2433219.6213,31.7266,,-1.7574,35.7143,0.0,-35.7143,1.1734,11.2636,14.9065,18.5494,-0.0769,-29.7954,-11.2192,13.3253,28.878,14.0703,14.2035,14.9746,18.2723,,0.6285,1.1836,,,,0,14.6073,-0.829,-0.0087,-0.8203,-1.7574,-0.4654,-1.292,0.2109,3.2189,52.8246,14.4221,14.2715,25.3366,1.1206,8.3817,6970897.0,13.9821,-11.5322,8.7012,0.8274,44.3904,15.4636,14.9065,,73.4939,71.8471,71.8471,67.7524,79.0095,100.0,,,1.0712,13.5441,,51.9689,-54.9881,13.6681
2023-06-02,17.05,18.16,16.55,14.88,6857832,-25565490.632,3380288.9771,31.2976,,-1.6184,28.5714,14.2857,-14.2857,1.1843,11.2847,14.8017,18.3187,0.6273,-13.7821,1.4583,13.611,25.7208,14.1951,14.2939,14.9676,18.6962,,0.7365,0.0331,,,,0,14.6155,-0.7089,0.0891,-0.798,-1.6184,-0.2184,-1.3999,0.2265,3.3355,59.8161,14.4221,14.2715,23.2805,2.8839,7.9587,13828729.0,13.7547,-10.6962,24.0385,0.9007,50.7291,15.2676,14.8017,,76.7902,84.0235,84.0235,96.9231,100.0,100.0,,,1.3266,13.5176,,56.8256,-38.8261,13.7936
2023-06-09,18.08,18.13,16.44,13.73,39340440,-54663449.2119,-5798013.9234,30.9834,,-1.4626,21.4286,7.1429,-14.2857,1.1992,11.2308,14.6453,18.0598,-0.8402,-27.5265,-12.5822,13.5611,26.8994,14.1231,14.2184,14.8758,18.965,,0.5078,-0.6468,,,,0,14.5586,-0.6988,0.0794,-0.7782,-1.4626,0.0046,-1.4673,0.2426,3.4394,41.3763,13.4391,14.2715,21.8712,0.5273,8.7358,-25511711.0,12.599,-9.7216,3.995,0.8148,43.7089,15.0815,14.6453,,73.0319,63.2252,63.2252,25.0,78.1099,34.3296,,,1.3925,13.5486,,51.2542,-59.9726,13.781
2023-06-16,16.78,17.33,16.13,14.26,20811004,-49261771.2052,-7306966.2966,30.6917,,-1.2326,14.2857,0.0,-14.2857,1.1727,11.3338,14.4815,17.6291,0.5469,-16.9966,-5.3195,13.6594,26.8994,14.1444,14.2241,14.8303,19.0408,,0.1267,-0.3352,,,,0,14.5565,-0.6403,0.1103,-0.7506,-1.2326,0.2555,-1.4881,0.2591,3.5477,51.6586,13.4391,13.2537,20.7543,1.127,8.223,-4700707.0,11.9555,-8.2155,8.5809,0.982,47.3402,14.9635,14.4815,,68.6774,58.7835,58.7835,54.4274,62.0187,51.7266,,,0.8282,13.6423,,51.7539,-20.5351,13.8692
2023-06-23,16.39,16.79,16.14,14.51,12627152,-37809237.9959,-3616007.492,30.4208,,-1.0479,7.1429,78.5714,71.4286,1.1288,11.4755,14.3407,17.206,0.5736,-1.768,-1.9863,13.8065,26.8994,14.201,14.2625,14.8067,18.9552,,0.204,0.2125,,,,0,14.5545,-0.5672,0.1468,-0.7139,-1.0479,0.4208,-1.4687,0.2761,3.6573,59.1348,13.4391,13.2537,20.012,1.1969,7.7784,7926445.0,11.528,-7.0193,8.9885,1.1268,49.0068,14.9387,14.3407,,57.0694,49.1995,49.1995,68.1711,53.8409,75.4666,,14.1881,0.5585,13.7615,,51.4723,-13.1917,13.9934
2023-06-30,16.57,17.95,16.53,15.29,15034636,-28915509.6578,1052480.8075,28.5371,25.425,-0.8292,0.0,100.0,100.0,1.136,11.6828,14.2374,16.7919,0.7676,55.7235,7.7693,14.1234,4.0491,14.3688,14.3997,14.8426,18.8399,,0.3567,0.4877,,,,0,14.651,-0.4412,0.2182,-0.6594,-0.8292,0.5836,-1.4128,0.2936,3.7736,66.2244,14.2129,13.8482,18.4479,1.5807,7.429,22961081.0,17.012,-5.569,11.5284,1.2746,53.8847,11.5439,14.2374,,59.33,70.0071,70.0071,87.4229,75.7311,100.0,,14.6099,1.2296,13.8992,-0.7544,59.5501,-7.4093,14.206
