date,open,high,low,close,volume,adx_14_adx,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_12_ema,ema_26_ema,ema_5_ema,mfi_14_mfi,mom_10_mom,rsi_14_rsi,sar_14_sar,sma_100_sma,sma_20_sma,sma_50_sma,sma_8_sma,stochrsi_14_fastd,stochrsi_14_fastk
2016-06-10,22.2,22.48,21.68,18.22,6064,15.0034,0.6691,14.503,16.8774,19.2518,17.6591,17.5486,18.0317,59.4964,0.7733,56.0027,14.331,,16.8774,17.9462,17.759,91.4092,74.2275
2016-06-17,22.38,22.5,22.08,18.81,9516,15.349,0.6706,14.5409,17.0193,19.4978,17.8365,17.6422,18.2919,67.696,1.387,60.1839,14.5594,,17.0193,17.945,17.8725,91.4092,100.0
2016-06-24,22.82,22.84,21.94,18.45,5081,15.9961,0.6765,14.9752,17.2204,19.4656,17.9302,17.7017,18.3431,62.5896,0.7263,56.5774,14.8206,,17.2204,17.9352,17.999,62.6571,13.7439
2016-07-01,21.42,22.53,20.91,18.94,4848,15.1991,0.7254,15.6029,17.4621,19.3212,18.0853,17.7933,18.5415,58.4925,1.0339,60.0431,15.1271,,17.4621,17.922,18.2249,70.1256,96.633
2016-07-08,22.23,22.92,22.09,19.27,5691,14.8671,0.7232,15.9952,17.6708,19.3465,18.2669,17.9024,18.783,58.5834,1.8323,62.2041,15.4121,,17.6708,17.9131,18.4935,70.1256,100.0
2016-07-15,23.0,23.53,23.0,19.7,4930,15.1463,0.7082,16.1523,17.8579,19.5636,18.4879,18.0358,19.0897,54.1613,2.5722,64.9299,15.7204,,17.8579,17.9171,18.7653,98.8777,100.0
2016-07-22,23.73,24.05,23.53,19.89,1786,15.8563,0.6943,16.1655,18.0126,19.8597,18.7033,18.173,19.3559,52.7738,2.7714,66.0453,16.0857,,18.0126,17.9308,18.9734,100.0,100.0
2016-07-29,23.91,24.14,23.7,20.24,6487,16.5922,0.6735,16.2158,18.1922,20.1685,18.94,18.3263,19.6512,54.5861,2.7134,68.1338,16.4987,,18.1922,17.951,19.1899,100.0,100.0
2016-08-05,24.16,24.37,23.86,20.36,4303,17.4751,0.656,16.2389,18.357,20.4752,19.159,18.4772,19.8886,64.0635,2.1396,68.8417,16.9159,,18.357,18.0029,19.4574,100.0,100.0
2016-08-12,24.36,24.78,24.29,20.83,6353,18.6409,0.6426,16.3052,18.5579,20.8106,19.4164,18.6516,20.2031,71.6061,2.3222,71.4763,17.3442,,18.5579,18.053,19.7098,100.0,100.0
2016-08-19,25.0,25.01,24.4,20.65,11959,19.907,0.6333,16.3505,18.7181,21.0857,19.6068,18.7999,20.3534,80.9403,2.4301,69.0852,17.7976,,18.7181,18.1149,19.9859,85.3244,55.9733
2016-08-26,24.72,24.83,24.34,20.46,12018,20.9763,0.6175,16.4644,18.8698,21.2751,19.738,18.9229,20.3888,68.8062,1.6475,66.4745,18.2492,,18.8698,18.1645,20.176,51.9911,0.0
2016-09-02,24.52,24.59,24.32,20.63,2460,21.9358,0.5895,16.5546,19.0152,21.4758,19.8749,19.0492,20.4685,64.9911,2.1822,67.6161,18.6375,18.0707,19.0152,18.2091,20.3463,26.2658,22.8241
2016-09-09,24.81,24.87,24.46,20.7,1970,23.0874,0.572,16.6459,19.1547,21.6636,20.0011,19.1711,20.544,64.006,1.7568,68.0835,18.9714,18.122,19.1547,18.2686,20.4703,18.3306,32.1678
2016-09-16,24.62,24.62,23.85,20.68,3625,23.0182,0.5774,16.8551,19.317,21.7789,20.1053,19.2827,20.5888,65.4989,1.4123,67.8196,19.2586,18.1737,19.317,18.3266,20.569,35.5052,51.5238
2016-09-23,24.58,25.34,24.54,21.19,5468,23.6659,0.5842,17.1445,19.52,21.8954,20.2723,19.4241,20.7895,64.0865,1.4878,71.4533,19.5056,18.2234,19.52,18.3855,20.6877,61.2305,100.0
2016-09-30,24.98,25.72,24.98,21.55,33988,24.5961,0.5869,17.4795,19.7418,22.0041,20.4694,19.5818,21.0441,78.8362,1.6652,73.7119,19.7748,18.2719,19.7418,18.4505,20.8364,83.8413,100.0
2016-10-07,25.53,25.97,24.51,21.28,30157,24.6511,0.6326,17.8147,19.9296,22.0444,20.5946,19.7079,21.1239,62.9502,1.0415,69.3133,20.07,18.3189,19.9296,18.5047,20.8928,75.1165,25.3494
2016-10-14,25.56,25.56,24.33,20.63,15295,24.4064,0.6613,18.0673,20.0497,22.0321,20.5995,19.7759,20.9579,54.7679,0.2626,59.9288,20.3692,18.3547,20.0497,18.5405,20.8894,41.7831,0.0
2016-10-21,24.32,24.97,24.32,20.98,5914,24.1621,0.6531,18.2843,20.1732,22.0621,20.6581,19.8651,20.9656,51.0281,0.1488,62.8517,21.8299,18.3967,20.1732,18.5697,20.9545,15.5186,21.2065
2016-10-28,25.34,25.43,24.7,20.76,8544,24.4376,0.6503,18.6229,20.3001,21.9773,20.6742,19.9316,20.8978,53.2845,0.1084,59.952,21.816,18.4342,20.3001,18.6136,20.9713,7.1248,0.168
2016-11-04,25.1,25.1,23.75,20.36,9698,23.1822,0.6849,18.8455,20.3775,21.9094,20.6256,19.9632,20.7181,48.0406,-0.101,54.9111,21.8023,18.4706,20.3775,18.6328,20.9292,7.1248,0.0
2016-11-11,24.55,25.68,23.89,21.06,27328,22.6685,0.7434,19.2331,20.5083,21.7835,20.693,20.0447,20.8332,54.9013,0.4353,61.065,21.7655,18.5163,20.5083,18.6617,20.9774,25.8891,77.4992
2016-11-18,24.97,26.0,24.94,21.57,9808,22.5218,0.7538,19.5043,20.64,21.7757,20.8281,20.1578,21.0792,55.8532,0.8763,64.7966,19.9638,18.5638,20.64,18.6986,21.0249,59.1664,100.0
2016-11-25,25.61,26.02,25.61,21.66,3369,22.4064,0.7246,19.7285,20.7598,21.7911,20.9564,20.2692,21.2734,53.6915,0.9835,65.4312,19.9827,18.6083,20.7598,18.7499,21.0385,92.4997,100.0
2016-12-02,25.83,25.92,24.46,20.57,7539,20.919,0.7605,19.8869,20.8033,21.7196,20.8974,20.2917,21.04,55.0706,-0.6178,53.0309,20.0205,18.6471,20.8033,18.7771,20.9497,66.6667,0.0
2016-12-09,24.72,25.58,24.72,21.28,14749,19.5379,0.7725,20.0371,20.8731,21.709,20.9568,20.3652,21.1212,59.5667,-0.2698,58.5508,20.0575,18.6922,20.8731,18.8112,21.0319,48.1715,44.5146
2016-12-16,25.19,25.7,24.99,21.54,32255,18.189,0.76,20.1069,20.9377,21.7686,21.0459,20.4519,21.2593,65.5404,0.2522,60.3332,20.0938,18.7457,20.9377,18.8524,21.1012,34.4676,58.8883
2016-12-23,25.62,25.72,25.13,21.15,22482,16.9713,0.7416,20.1851,20.977,21.7689,21.0617,20.5035,21.2226,60.0117,0.523,56.3331,20.1294,18.7851,20.977,18.918,21.1496,43.3444,26.6304
2016-12-30,25.54,25.72,25.08,21.09,9726,15.7709,0.7269,20.1996,20.9901,21.7807,21.0667,20.5473,21.1798,56.5314,0.1135,55.7696,20.1642,18.8278,20.9901,19.0084,21.2415,41.0078,37.5048
2017-01-06,25.33,26.63,25.33,22.33,24288,15.8747,0.7671,20.1077,21.074,22.0403,21.2612,20.6794,21.5635,54.7483,1.5685,64.4291,20.1984,18.8746,21.074,19.1234,21.4,54.7117,100.0
2017-01-13,26.77,27.1,26.6,22.77,16353,16.4829,0.7444,20.0155,21.1893,22.3631,21.4928,20.834,21.9644,66.4576,2.4077,66.8879,20.264,18.9229,21.1893,19.2593,21.5493,79.1683,100.0
2017-01-20,27.13,27.14,26.64,22.7,38713,17.0902,0.7213,19.979,21.2927,22.6064,21.6778,20.9719,22.2082,59.0246,1.6324,66.0893,20.3646,18.966,21.2927,19.4247,21.6786,97.6058,92.8174
2017-01-27,27.14,27.77,26.97,23.28,18535,18.2852,0.7177,19.8794,21.4221,22.9649,21.9249,21.1431,22.5666,63.7159,1.7121,69.3646,20.487,19.0167,21.4221,19.6083,22.0174,97.6058,100.0
