date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
2008-11-11,34.05,37.88,34.02,29.86,211800,3703234.4862,22.5106,22.7495,2.5779,24.8087,29.3272,33.8457,29.6213,23.7216,29.155,27.1769,29.8829,1.0516,-0.2005,1.2521,57.5674,1.211,4.227,53.4181,35.0285,30.1411,22.0137,29.3272,27.2531,30.6154,16.3626,15.4442,12.9935,38.9804
2008-11-12,36.0,38.36,35.2,30.78,488700,4040375.6254,21.8129,22.3973,2.5772,26.2372,29.7181,33.1991,29.7755,23.7918,29.3095,27.3181,30.1067,1.055,-0.1577,1.2126,58.1661,2.5682,9.104,55.6923,34.9547,30.1161,22.0595,29.7181,27.328,30.4784,19.02,35.333,46.3268,100.0
2008-11-13,38.0,42.76,35.15,34.33,522500,4491469.5808,22.5021,22.4125,2.8349,26.4564,30.1188,33.7812,30.3827,23.8967,29.7876,27.5931,31.1624,1.3289,0.093,1.2359,67.0617,4.47,14.9701,63.1792,34.8816,30.4302,22.104,30.1188,27.4875,30.6339,38.7758,65.5502,79.6601,100.0
2008-11-14,41.44,42.43,39.99,32.74,227400,4319987.6135,23.1421,22.4176,2.774,26.6435,30.3516,34.0598,30.6976,23.9847,30.0693,27.7951,31.558,1.402,0.1329,1.2691,72.4125,0.3739,1.1549,58.4343,34.8093,30.8034,22.1477,30.3516,27.6206,30.6966,59.4084,77.342,89.3233,67.9698
2008-11-17,39.95,40.12,37.04,30.39,233400,4139633.0681,22.3939,21.786,2.7646,26.7891,30.4301,34.071,30.6563,24.0484,30.0996,27.8968,31.2654,1.2552,-0.0111,1.2663,72.9674,-1.3491,-4.251,52.1603,34.7521,30.9277,22.1746,30.4301,27.7045,30.7605,70.336,68.1159,55.9899,0.0
2008-11-18,37.6,38.48,36.3,29.88,243200,4001299.1231,21.3999,21.1629,2.6936,26.8693,30.4691,34.0688,30.5533,24.1065,30.0791,27.9747,30.92,1.0857,-0.1445,1.2302,67.6988,-3.3566,-10.0978,50.902,34.6811,31.0473,22.198,30.4691,27.757,30.851,63.1066,43.8618,22.6566,0.0
2008-11-19,36.86,37.96,34.5,28.32,242000,3808258.6607,19.9535,20.9666,2.7021,26.7349,30.4211,34.1073,30.256,24.1485,29.9119,27.9884,30.2709,0.8161,-0.3313,1.1474,63.2575,-3.9824,-12.327,47.1117,34.6108,30.9375,22.2121,30.4211,27.8028,30.901,44.4463,21.3611,-0.0,0.0
2008-11-20,34.79,39.05,32.42,30.12,664200,4073738.2987,19.3128,21.3778,2.894,26.697,30.3707,34.0444,30.2378,24.2079,29.9316,28.072,30.2331,0.7388,-0.3268,1.0657,63.6852,0.1788,0.5972,51.5809,34.5412,30.7767,22.2407,30.3707,27.8831,30.9381,29.7275,23.9596,13.1572,39.4715
2008-11-21,37.26,39.1,35.6,31.67,525700,4560386.2987,18.6975,21.7495,2.8904,26.7474,30.4577,34.168,30.429,24.2821,30.0974,28.2131,30.5928,0.7937,-0.2176,1.0113,64.5818,2.4219,8.2801,55.1114,34.3773,30.7721,22.2761,30.4577,28.0145,31.0658,30.1798,45.2186,46.4905,100.0
2008-11-24,40.29,41.81,39.54,33.89,305300,4836097.7525,17.6286,21.8195,2.8489,27.036,30.7763,34.5166,30.8906,24.3778,30.4586,28.4358,31.4172,1.0046,-0.0053,1.01,64.1082,5.9166,21.1505,59.6411,34.2167,30.8185,22.3226,30.7763,28.1743,31.0031,48.6424,76.749,79.8238,100.0
2008-11-25,34.31,40.68,34.31,32.83,420500,5218310.4683,17.6824,21.6738,3.0744,27.277,30.9851,34.6933,31.1486,24.4618,30.6841,28.6079,31.7694,1.0735,0.0509,1.0227,61.1996,2.9664,9.9347,56.6851,34.0594,30.8557,22.3631,30.9851,28.2619,31.0148,70.5193,89.5903,92.136,76.4079
