date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
2011-06-20,185.96,188.85,185.57,9.39,2831700,25265719347.957,20.7482,20.7953,0.2364,9.1162,9.4985,9.8808,9.4207,8.6676,9.4692,9.4511,9.3506,-0.0928,-0.0253,-0.0675,42.3422,0.1015,1.0932,46.5761,9.7536,9.3994,8.7845,9.4985,9.5688,9.3321,33.8674,39.8097,46.4837,83.0828
2011-06-21,188.3,195.0,187.12,9.71,4182600,25333023114.4544,19.6548,19.9096,0.2477,9.1253,9.4935,9.8618,9.4595,8.678,9.4923,9.4613,9.4408,-0.0611,0.0051,-0.0662,48.7649,0.334,3.5617,55.6646,9.0795,9.406,8.7983,9.4935,9.5784,9.3871,43.543,64.9061,79.817,100.0
2011-06-22,193.96,195.2,191.32,9.58,3129700,25280431248.4751,18.6901,19.431,0.2439,9.1271,9.4894,9.8518,9.4758,8.687,9.5008,9.466,9.476,-0.0459,0.0162,-0.0621,53.883,0.179,1.9037,51.8693,9.0862,9.3988,8.8119,9.4894,9.5859,9.4253,59.8467,74.8243,86.4127,76.1552
2011-06-23,189.5,194.46,188.3,9.71,4609600,25363643508.2153,17.7388,19.1936,0.2484,9.1231,9.4942,9.8653,9.5067,8.6972,9.5205,9.4755,9.534,-0.0234,0.031,-0.0544,54.1497,0.224,2.3619,55.0789,9.0997,9.4196,8.8257,9.4942,9.5996,9.4553,75.2634,86.0596,90.3215,94.8094
2011-06-24,193.88,194.92,191.35,9.63,3614500,25339951827.5431,16.7237,18.7822,0.2434,9.1302,9.4881,9.8459,9.5228,8.7064,9.5307,9.4814,9.5574,-0.0119,0.034,-0.0459,60.1592,0.301,3.2274,52.6718,9.1129,9.4441,8.8387,9.4881,9.6099,9.5022,79.8949,78.8009,79.345,67.0705
2011-06-27,194.5,202.58,194.03,10.06,6100700,25424005916.432,17.0429,19.0311,0.2619,9.0778,9.5059,9.9339,9.5948,8.7199,9.5813,9.5042,9.6837,0.0319,0.0622,-0.0304,61.1698,0.748,8.0305,62.2679,9.1258,9.493,8.8534,9.5059,9.6293,9.6279,83.1791,84.6768,87.2933,100.0
2011-06-28,201.92,202.88,200.6,10.12,3825300,25464943337.4846,17.3954,18.9638,0.2513,9.0346,9.52,10.0054,9.6645,8.7338,9.6324,9.5283,9.7921,0.0703,0.0805,-0.0102,61.4087,0.6195,6.5224,63.2816,9.1559,9.5441,8.8678,9.52,9.6517,9.7421,83.4086,86.748,89.0235,100.0
2011-06-29,202.67,206.25,201.03,10.21,4608900,25484014647.8294,18.3225,19.2012,0.252,8.9793,9.5495,10.1197,9.7371,8.7485,9.6873,9.555,9.8963,0.1068,0.0936,0.0132,61.88,0.91,9.786,64.9678,9.1954,9.5959,8.8824,9.5495,9.6775,9.8596,87.8338,92.0767,100.0,100.0
2011-06-30,200.78,205.2,200.5,10.22,4448100,25546098766.9783,19.0168,19.5188,0.2508,8.9364,9.5766,10.2167,9.8021,8.7632,9.7385,9.5812,9.9784,0.1355,0.0978,0.0376,60.8823,1.042,11.3477,65.2589,9.2513,9.66,8.8971,9.5766,9.7032,9.9329,89.9438,91.0069,100.0,100.0
2011-07-01,205.55,210.27,203.61,10.47,4008700,25607493271.4828,20.4618,19.9615,0.2567,8.8847,9.6295,10.3743,9.8917,8.7802,9.8086,9.6163,10.1024,0.1763,0.1109,0.0654,67.0537,1.156,12.4054,69.6401,9.3044,9.7429,8.9125,9.6295,9.7288,10.0605,91.2337,90.6176,100.0,100.0
