date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2025-11-24,15.36,15.37,14.79,14.79,2989890,-39820132.1786,35.8032,37.9738,0.6809,11.2235,13.4405,15.6575,14.1927,14.0524,14.1084,14.5789,14.6407,,0.2295,0.3182,-0.0887,70.8693,2.0,15.6372,57.7101,12.7736,13.8314,13.4405,13.567,14.4796,14.6843,,51.8262,0.0
2025-11-25,14.8,15.14,14.46,15.02,1637594,-38760512.5315,35.575,38.4257,0.6809,11.2159,13.5325,15.8491,14.303,14.1445,14.1672,14.5962,14.7355,,0.2709,0.2877,-0.0168,68.1741,1.58,11.756,59.6952,12.917,14.0443,13.5325,13.5947,14.4116,14.8043,,41.1966,23.5898
2025-11-26,14.79,15.46,14.79,15.16,803912,-38676521.7256,35.7271,38.504,0.6801,11.2573,13.651,16.0447,14.4173,14.2412,14.2312,14.6183,14.8417,15.8111,0.3115,0.2626,0.0489,70.1123,0.91,6.386,60.8983,13.0531,14.27,13.651,13.6367,14.3458,14.9471,15.8111,20.4924,37.8875
2025-11-28,15.31,15.74,15.31,15.72,681877,-38058075.1442,36.1643,38.003,0.6729,11.3201,13.8125,16.3049,14.591,14.3821,14.3273,14.6615,15.0612,15.8091,0.3844,0.2684,0.116,70.0783,1.7,12.1255,65.3535,13.1825,14.5136,13.8125,13.711,14.3056,15.12,15.7746,50.7695,90.8313
2025-12-01,15.57,15.74,15.36,15.53,803373,-38142640.7231,36.5702,36.8075,0.652,11.458,13.969,16.48,14.7162,14.4914,14.4049,14.6955,15.1784,15.803,0.422,0.2448,0.1772,66.668,1.35,9.5205,62.7415,13.3359,14.7093,13.969,13.777,14.275,15.1986,15.7278,64.8484,65.8265
2025-12-02,15.57,15.57,15.08,15.13,745311,-38735847.4374,36.2216,35.9964,0.6404,11.7243,14.1225,16.5207,14.7714,14.5522,14.4517,14.7126,15.1663,15.7882,0.4148,0.19,0.2247,62.7307,0.97,6.8503,57.5286,13.4802,14.83,14.1225,13.8197,14.2378,15.2543,15.6776,52.2193,0.0
2025-12-03,15.17,15.56,15.1,15.52,999772,-37908079.2224,35.8978,35.817,0.6279,11.9765,14.286,16.5955,14.8712,14.6444,14.5206,14.7442,15.2547,15.7823,0.4354,0.1686,0.2669,59.3298,1.01,6.9607,60.9365,13.6157,14.9207,14.286,13.8683,14.2142,15.2671,15.6378,36.4595,43.5518
2025-12-04,15.58,15.63,15.22,15.28,836334,-38499632.5394,35.6965,35.3568,0.6123,12.3462,14.448,16.5498,14.9257,14.7049,14.5696,14.7653,15.2611,15.7713,0.4276,0.1285,0.299,44.2358,0.3,2.0027,57.8597,13.7432,15.0107,14.448,13.9097,14.204,15.3371,15.5984,15.9278,4.2315
2025-12-05,15.25,15.88,15.15,15.73,556093,-38172070.9093,35.8563,35.1541,0.6207,12.7882,14.6345,16.4808,15.0329,14.8026,14.6445,14.8031,15.3783,15.7703,0.4524,0.1227,0.3297,50.8663,0.99,6.7164,61.7586,13.863,15.1214,14.6345,13.9763,14.2106,15.4386,15.5636,42.9759,81.1445
2025-12-08,15.7,15.85,15.25,15.3,699424,-38754924.2426,36.0048,35.0332,0.6193,13.2585,14.784,16.3095,15.0685,14.8499,14.6867,14.8226,15.3587,15.76,0.4324,0.0822,0.3502,42.477,-0.13,-0.8425,56.3897,14.0042,15.2029,14.784,14.0343,14.2028,15.4586,15.5287,28.4587,0.0
